RoomID,Building,Floor,Room #,Room Name,Room Use Code,Stations,Area (ft2),Department,Faculty /Scientist Name
325,Monroe,2nd,00220A,TESTING LAB,255,,127,ELECTRICAL ENG,
326,Monroe,2nd,222,SCIF,215,,236,GENERAL ENG.,"DR. ATKINSON, SCHALL"
327,Monroe,2nd,224,NEW 226; THERMO LAB,,,241,,
328,Monroe,2nd,225,NEW 226; THERMO LAB,,,155,,
329,Monroe,2nd,226,NEW 226; THERMO LAB,,,151,,
330,Monroe,2nd,227,NEW 226; THERMO LAB,,,143,,
331,Monroe,3rd,301,VACANT,250,25,783,former ELECTRICAL ENG,formerly DIGITAL SIGNAL LAB; Karimoddini moving out
332,Monroe,3rd,302,VACANT,310,2,117,former DR. ANWAR,
333,Monroe,3rd,303,VACANT,310,2,187,former DR. K. BRYANT,
334,Monroe,3rd,304,VACANT,310,2,173,former EFFORT,
335,Monroe,3rd,305,,220,,524,GEN. ENGINEERING,
336,Monroe,3rd,00308A,STORAGE,255,11,55,ELECTRICAL ENG,
337,Monroe,3rd,309,STORAGE,215,11,189,,
338,Monroe,3rd,00310A,STOR,215,11,50,GEN. ENGINEERING,
339,Monroe,3rd,311,"Dr. XIE, DOGAN, EROGLU LAB",250,16,954,ELECTRICAL ENG,formerly 310
340,Monroe,3rd,312,DR. PARK,250,10,591,COMP SCI ENG,
341,Monroe,3rd,313,DR. ATKINSON,250,5,351,MECHANICAL ENG.,
342,Monroe,3rd,314,DRS. DOSS; GRAVES,210,30,693,MECHANICAL ENG.,
343,Monroe,3rd,315,DRS. GOKARAJU; RHINEHART,250,16,1183,COMP DATA SCI ENG,
344,Monroe,3rd,316,STORAGE,215,,235,GEN. ENGINEERING,
345,Monroe,3rd,317,ISE LAB,250,30,735,INDUSTRIAL SYST. ENG.,fomerly McCullough
346,Monroe,3rd,318,VACANT (DR. KORY BENNET),250,5,810,MECHANICAL ENG.,past Makerspace
347,Monroe,3rd,319,DR. LAUREN DAVIS,250,20,615,INDUSTRIAL SYST. ENG.,
348,Monroe,3rd,00319A,LAB,250,2,138,INDUSTRIAL SYST. ENG.,MR. D. MARTAIN ?
349,Monroe,3rd,320,STORAGE,255,,75,CIVIL ARCH ENV ENG,
350,Monroe,3rd,321,M/ DS LAB,210,40,873,ELECTRICAL ENG,
351,Monroe,3rd,322,EE FACULTY LAB (DR.RAPTIS),32,,691,ELECTRICAL ENG,
352,Monroe,3rd,323,?,250,1,751,formerly Bagally?,
353,Monroe,3rd,00323A,STOR,255,,80,ELECTRICAL ENG,
354,Monroe,3rd,00323B,OFFICE,310,1,195,ELECTRICAL ENG,
355,Monroe,3rd,324,DR. KELLY,250,8,342,CIVIL ARCH ENV ENG,
356,Monroe,3rd,325,VACANT,250,5,258,?,formerly Atkinson
357,Monroe,3rd,00325A,OFFICE,310,3,153,"CIVIL, ARCH, & ENV ENG.",
358,Monroe,3rd,326,"DRS. MEGHI, HAMOOSH",250,4,237,"CIVIL, ARCH, & ENV ENG.",
359,Monroe,3rd,328,VACANT,310,,269,?,formerly Anwar; need in IRC (ask Muth)
360,Monroe,3rd,329,DR. TEHERE,310,,219,"CIVIL, ARCH, & ENV ENG.",
361,Monroe,3rd,330,DR. HAMOOSH,310,,214,"CIVIL, ARCH, & ENV ENG.",
362,Hines,2nd,200,DR. KUMAR,250,,1260,ELECTRICAL COMP ENG,Moving to Monro 218
363,Hines,2nd,201,DR. KARIMODDINI,250,6,473,ELECTRICAL COMP ENG,Moving to M-ERIC
364,Hines,2nd,202,DR. SCHALL,250,,484,ELECTRICAL COMP ENG,Moving to Monro 218
365,M-ERIC,2nd,200,,,90,,,
366,M-ERIC,3rd,300,,,75,,,
367,M-ERIC,4th,400,,,75,,,
368,Hines,2nd,203,DR. MONTE (SECURE MATERIALS),310,,174,ELECTRICAL COMP ENG,
369,Hines,2nd,204,DR. LIMBRICK,,,,,
